# Compilation of observed intracluster-light / intracluster-star mass fractions
#
#   f_ICS = m_ICS / M_*,halo    with  M_*,halo = m_ICS + m_BCG + sum(m_satellites)
#
# for groups and clusters between z = 0 and z = 2.  Assembled from the
# observational compilation used in the SAGE26 ICS figures
# (SAGE26/plotting/random_plotting_scripts/BCG_ICS_fraction.py), which digitised
# each of the sources listed below.  Simulation curves in that figure
# (Rudick et al. 2011, Tang et al. 2018) are deliberately NOT included here.
#
# Caveats, all inherent to the literature rather than to this file:
#   * Individual measurements carry no published uncertainty in the source
#     compilation, so the constraint (src/constraints.py, class FICS) derives the
#     error bar from the scatter between independent measurements in each
#     redshift bin.  That scatter is dominated by the systematic disagreement
#     between ICL definitions, which is the honest error budget here.
#   * The ICL/BCG split is definition dependent: surface-brightness cuts,
#     double-Sersic decompositions and aperture choices give systematically
#     different fractions for the same cluster.  Points from different sources at
#     the same redshift therefore need not agree.
#   * Montes & Trujillo (2018) contributes two marker sets (a, b) in the source
#     figure, corresponding to their two measurement methods; both are retained,
#     so a few clusters appear twice at the same redshift.
#   * The Montes & Trujillo (2018a) entry with f_ICS = 0 is a digitisation
#     artefact and is filtered out by the loader; it is kept here for provenance.
#   * Group samples (Ragusa+23 VEGAS groups, Ahad+25 KiDS+GAMA groups) probe
#     M_vir ~ 10^12.5-10^13.5; the cluster samples probe 10^14-10^15.  Those two
#     sets are 25 and 61 of the 86 usable points respectively, and the group
#     points sit systematically LOWER: excluding them would raise the z < 0.3 bin
#     medians from 0.18/0.15/0.16 to 0.23/0.20/0.21.  All of them are used.  The
#     FICS constraint therefore keeps its model halo-mass floor low
#     (FICS_MVIR_MIN = 10^12) so the model averages over group and cluster
#     scales together, as this compilation does.
#
# Sources:
#   Burke12            Burke, Collins, Stott & Hilton (2012), ICL at z ~ 1
#   MontesTrujillo18a  Montes & Trujillo (2018), ICL at the Frontier (method a)
#   Burke15            Burke, Hilton & Collins (2015), ICL and CLASH
#   Furnell21          Furnell et al. (2021), ICL growth in XCS-HSC, 0.1<z<0.5
#   Feldmeier04        Feldmeier et al. (2004), deep CCD imaging
#   MontesTrujillo18b  Montes & Trujillo (2018), ICL at the Frontier (method b)
#   KoJee18            Ko & Jee (2018), ICL at z = 1.24
#   Kluge21            Kluge et al. (2021), ICL and its host cluster
#   Zibetti05          Zibetti et al. (2005), intergalactic stars at z = 0.25
#   Presotto14a/b      Presotto et al. (2014), MACS J1206.2-0847 (two estimates)
#   Spavone20          Spavone et al. (2020), Fornax Deep Survey
#   XLSSC122           JWST imaging of XLSSC 122 at z = 1.98
#   Ragusa23_groups    Ragusa et al. (2023), VEGAS groups
#   Ragusa23_Antlia    Ragusa et al. (2023), VEGAS Antlia cluster
#   Ahad25             Ahad et al. (2025), KiDS+GAMA groups
#
# Columns:
#   1  z        redshift
#   2  f_ICS    m_ICS / M_*,halo
#   3  source   short reference tag
#
#         z      f_ICS  source
   0.00000    0.34080  Spavone20
   0.03038    0.17925  Kluge21
   0.04304    0.10849  MontesTrujillo18b
   0.04810    0.08608  MontesTrujillo18a
   0.05000    0.35000  Ragusa23_Antlia
   0.05000    0.16000  Ragusa23_groups
   0.05000    0.05000  Ragusa23_groups
   0.05000    0.05000  Ragusa23_groups
   0.05000    0.17000  Ragusa23_groups
   0.05000    0.05000  Ragusa23_groups
   0.05000    0.27000  Ragusa23_groups
   0.05000    0.34000  Ragusa23_groups
   0.05000    0.17000  Ragusa23_groups
   0.05000    0.08000  Ragusa23_groups
   0.05000    0.35000  Ragusa23_groups
   0.05000    0.18000  Ragusa23_groups
   0.05000    0.07000  Ragusa23_groups
   0.05000    0.20000  Ragusa23_groups
   0.05000    0.22000  Ragusa23_groups
   0.05000    0.28000  Ragusa23_groups
   0.05000    0.30000  Ragusa23_groups
   0.08101    0.28892  Furnell21
   0.10886    0.31604  Furnell21
   0.12000    0.16000  Ahad25
   0.12000    0.10000  Ahad25
   0.12000    0.04000  Ahad25
   0.12152    0.31014  Furnell21
   0.12658    0.30660  Furnell21
   0.14430    0.38561  Furnell21
   0.16203    0.15212  Feldmeier04
   0.16203    0.12146  Feldmeier04
   0.16203    0.10259  Feldmeier04
   0.17722    0.23113  Burke15
   0.18000    0.15000  Ahad25
   0.18000    0.12000  Ahad25
   0.18000    0.08000  Ahad25
   0.18481    0.07311  Feldmeier04
   0.19494    0.16863  Burke15
   0.21266    0.18042  Burke15
   0.21519    0.23585  Furnell21
   0.21772    0.16274  Burke15
   0.22532    0.12500  Burke15
   0.22532    0.26533  Furnell21
   0.24000    0.13000  Ahad25
   0.24000    0.15000  Ahad25
   0.24000    0.05000  Ahad25
   0.24304    0.10849  Zibetti05
   0.25570    0.28538  Furnell21
   0.26076    0.32547  Furnell21
   0.29114    0.12972  Burke15
   0.29367    0.27476  Furnell21
   0.30127    0.07665  MontesTrujillo18b
   0.30380    0.03302  MontesTrujillo18a
   0.30633    0.29717  Furnell21
   0.32152    0.27594  Furnell21
   0.32911    0.15330  Furnell21
   0.33671    0.18868  Furnell21
   0.33924    0.05542  Burke15
   0.34177    0.07193  Burke15
   0.34177    0.26651  Furnell21
   0.34177    0.13090  MontesTrujillo18b
   0.34177    0.02712  MontesTrujillo18a
   0.34430    0.06014  Burke15
   0.36709    0.01061  MontesTrujillo18a
   0.36962    0.04835  MontesTrujillo18b
   0.37215    0.19811  Furnell21
   0.37722    0.15448  Furnell21
   0.38734    0.02712  Burke15
   0.38987    0.08608  MontesTrujillo18b
   0.39747    0.01533  MontesTrujillo18a
   0.39747    0.03302  Burke15
   0.40253    0.02594  Burke15
   0.42532    0.09670  Furnell21
   0.43291    0.05542  Presotto14b
   0.43544    0.12264  Presotto14a
   0.49620    0.11321  Furnell21
   0.53418    0.01533  MontesTrujillo18a
   0.53671    0.06604  MontesTrujillo18b
